Country	UdvardyRealm
Niger	Afrotropical
Nigeria	Afrotropical
Niue	Oceanian
North Macedonia	Palearctic
Northern Mariana Islands	Oceanian
Norway	Palearctic
Oman	Palearctic
Pakistan	Palearctic
Palau	Oceanian
Panama	Neotropical
Papua New Guinea	Australasian
Paraguay	Neotropical
Peru	Neotropical
Philippines	Indomalayan
Poland	Palearctic
Portugal	Palearctic
Puerto Rico	Neotropical
Qatar	Palearctic
Republic of Korea	Palearctic
Republic of Moldova	Palearctic
Romania	Palearctic
Russia	Palearctic
Russian Federation	Palearctic
Rwanda	Afrotropical
Réunion	Malagasy
Sabah, Malaysia	Indomalayan
Saint Helena	Afrotropical
Saint Vincent and the Grenadines	Neotropical
Samoa	Oceanian
San Marino	Palearctic
Sao Tome & Principe	Afrotropical
Saudi Arabia	Palearctic
Senegal	Afrotropical
Serbia	Palearctic
Seychelles	Malagasy
Sierra Leone	Afrotropical
Singapore	Indomalayan
Slovakia	Palearctic
Slovenia	Palearctic
Solomon Islands	Oceanian
Somalia	Afrotropical
South Africa	Afrotropical
South Sudan	Afrotropical
Spain	Palearctic
Sri Lanka	Indomalayan
State of Palestine	Palearctic
Sudan	Afrotropical
Suriname	Neotropical
Swaziland	Afrotropical
Sweden	Palearctic
Switzerland	Palearctic
Syria	Palearctic
Syrian Arab Republic	Palearctic
São Tomé and Principe	Afrotropical
Taiwan	Palearctic
Tajikistan	Palearctic
Tanzania	Afrotropical
Thailand	Indomalayan
Tibet	Palearctic
Timor-Leste	Indomalayan
Togo	Afrotropical
Tonga	Oceanian
Trinidad	Neotropical
Trinidad and Tobago	Neotropical
Trinidad and Tobago and Tobago	Neotropical
Tunisia	Palearctic
Turkmenistan	Palearctic
Tuvalu	Oceanian
Türkiye	Palearctic
Uganda	Afrotropical
Ukraine	Palearctic
United Arab Emirates	Palearctic
United Kingdom of Great Britain and Northern Ireland	Palearctic
United States	Nearctic
United States Virgin Islands	Neotropical
Unites States	Nearctic
Uruguay	Neotropical
Uzbekistan	Palearctic
Vanuatu	Oceanian
Vatican City	Palearctic
Venezuela	Neotropical
Vietnam	Indomalayan
Virgin Islands	Neotropical
West Indies	Neotropical
Yemen	Palearctic
Yugoslavia	Palearctic
Zambia	Afrotropical
Zimbabwe	Afrotropical
probably Australia or New Guinea	Australasian
vicinity of Caspian Sea	Palearctic
